NUMERO|DESCRIPCION|TIPOPARTE|ALMACEN|EXISTENCIA|COSTOUNITARIO|COSTO|PRECIO|ULTIMACOMPRA|ULTIMAVENTA|FECHAALTA|CLASIFICACION
5612750000          |BUJE HULE AMORT               |REFACCI                       |VILLAHERM      |2|35.97|71.94|97.41|18/06/22|21/06/22|03/12/88|Obsoleto  |
KWA0A50P14          |Nismo pants                   |ACCESOR                       |VILLAHERM      |2|800.00|1600.00|1000.00|04/03/24|//|06/01/24|Lento     |
E62105EF0C          |AMORTIGUADOR TR               |REFACCI                       |VILLAHERM      |1|992.81|992.81|1672.41|13/09/24|17/10/24|03/01/19|Rapido    |
244109BA0J          |868849KC8B (KV)               |REFACCI                       |VILLAHERM      |1|2221.01|2221.01|3025.86|08/09/23|02/05/24|03/12/11|Lento     |
3N3E16CK0A          |TAPETES DE HULE               |ACCESOR                       |VILLAHERM      |1|938.10|938.10|1659.48|24/06/22|28/06/22|03/11/18|Obsoleto  |
254013AA2B          |INTERRUP/PRINC/               |REFACCI                       |VILLAHERM      |3|894.24|2682.72|1663.80|19/07/24|13/07/24|03/10/14|Rapido    |
254013AA3C          |INTERRUP/PRINC/               |REFACCI                       |VILLAHERM      |1|1647.47|1647.47|3068.97|12/04/24|06/07/21|03/11/14|Obsoleto  |
3N3M6G2001          |COLILLA DE ESCA               |ACCESOR                       |VILLAHERM      |3|582.39|1747.17|1125.00|27/01/22|24/06/23|03/04/14|Obsoleto  |
1520865F0E          |FILTRO ACEITE                 |REFACCI                       |VILLAHERM      |253|165.66|41911.98|267.28|30/10/24|31/10/24|03/01/13|Rapido    |
22401JA01B          |BUJIA                         |REFACCI                       |VILLAHERM      |3|543.10|1629.30|946.47|22/12/22|09/08/24|03/01/06|Rapido    |
